stock_code,total_return,annual_return,max_drawdown,sharpe_ratio,trade_count
603129,1.114,0.1729,-0.0915,1.3595,7
688248,0.856,0.2474,-0.1311,1.2254,4
688629,0.2722,0.1947,-0.1326,0.8713,3
002335,1.0405,0.1641,-0.2085,0.8345,7
300604,0.8135,0.1364,-0.1929,0.7534,15
002409,0.5697,0.1008,-0.1768,0.6873,9
603179,0.6582,0.1137,-0.1439,0.6838,7
300207,0.7983,0.1332,-0.1427,0.6814,8
002444,0.4824,0.0875,-0.1365,0.6216,5
688676,0.5839,0.1376,-0.1708,0.6088,5
601865,0.4364,0.0802,-0.093,0.596,8
300763,0.6556,0.1134,-0.1246,0.595,11
300724,0.8174,0.1357,-0.302,0.5867,10
688234,0.2522,0.0855,-0.0946,0.5774,4
688183,0.356,0.0883,-0.1342,0.5725,2
688192,0.1996,0.0664,-0.0486,0.5445,4
688213,0.1828,0.0719,-0.0721,0.5145,4
688017,0.6111,0.1245,-0.2166,0.5028,10
300100,0.5504,0.0979,-0.1155,0.5,3
300751,0.4748,0.0863,-0.217,0.4864,10
300757,0.7452,0.1282,-0.3695,0.4816,8
002131,0.3618,0.068,-0.1787,0.4815,2
300623,0.3644,0.0684,-0.064,0.481,8
300390,0.4247,0.0783,-0.1694,0.4646,10
300346,0.3559,0.0675,-0.0816,0.4619,6
002130,0.3695,0.0693,-0.0889,0.4618,2
688266,0.4884,0.0896,-0.1711,0.4611,10
003021,0.4433,0.1011,-0.2183,0.4484,10
002271,0.3739,0.07,-0.096,0.4434,7
002683,0.348,0.0663,-0.1525,0.4413,9
001696,0.3569,0.0672,-0.1312,0.4203,2
600316,0.3755,0.0703,-0.1252,0.4005,7
600363,0.2782,0.0537,-0.0929,0.3906,6
003022,0.3069,0.0729,-0.1942,0.388,6
300679,0.3968,0.0744,-0.1658,0.3879,7
000155,0.3265,0.0631,-0.1261,0.3863,9
688180,0.3976,0.0832,-0.1873,0.3838,12
688019,0.4633,0.0845,-0.2508,0.3828,10
002273,0.3373,0.0639,-0.1796,0.3749,5
603920,0.3661,0.0689,-0.126,0.3589,9
603833,0.2537,0.0493,-0.0712,0.3585,5
688120,0.162,0.0654,-0.1097,0.349,6
603728,0.3928,0.0731,-0.3127,0.3443,5
002603,0.2817,0.0543,-0.0898,0.3421,8
300496,0.3851,0.0719,-0.2034,0.3374,11
300748,0.2844,0.0548,-0.1226,0.3202,10
300919,0.3025,0.0729,-0.2052,0.3157,9
603927,0.2895,0.0556,-0.1194,0.2899,9
603298,0.2547,0.0495,-0.1339,0.2708,5
688278,0.2584,0.0507,-0.1535,0.2657,8
688525,0.1167,0.0629,-0.3111,0.2654,5
688322,0.1482,0.0623,-0.2758,0.2596,5
603596,0.2401,0.0469,-0.0768,0.2559,6
600765,0.2584,0.0502,-0.1057,0.2412,5
300373,0.2318,0.0454,-0.0746,0.238,5
002414,0.2726,0.0527,-0.1501,0.2363,12
000887,0.2579,0.0501,-0.1966,0.2192,7
600060,0.234,0.0458,-0.1085,0.2136,4
688568,0.2029,0.0448,-0.1058,0.2104,5
000933,0.2468,0.0485,-0.1876,0.2078,4
688318,0.2237,0.047,-0.1413,0.2028,8
000519,0.205,0.0405,-0.0576,0.1931,6
603786,0.2357,0.0461,-0.1684,0.1891,5
301308,0.0948,0.042,-0.0873,0.1788,4
688099,0.2274,0.0446,-0.2115,0.1706,5
300718,0.215,0.0424,-0.1024,0.1704,7
603806,0.2175,0.0428,-0.185,0.1678,12
003031,0.1602,0.0411,-0.1475,0.1617,7
300140,0.218,0.0433,-0.2447,0.1563,7
600521,0.2088,0.0412,-0.1602,0.154,6
688819,0.1468,0.0378,-0.1208,0.1482,2
300395,0.188,0.0374,-0.0832,0.1379,6
601001,0.1888,0.0375,-0.1194,0.1322,7
600487,0.1763,0.0352,-0.0493,0.1146,2
600208,0.1742,0.0348,-0.054,0.1114,1
300136,0.1789,0.0357,-0.0576,0.1085,8
300073,0.1784,0.0359,-0.1372,0.1081,6
300567,0.1794,0.0358,-0.1997,0.1015,5
600398,0.1751,0.035,-0.172,0.0944,2
002353,0.1727,0.0345,-0.1179,0.0915,7
688772,0.0784,0.0256,-0.2948,0.0907,9
688582,0.0464,0.0344,-0.0875,0.0894,2
600329,0.1637,0.0329,-0.0432,0.0828,4
688027,0.1455,0.033,-0.2072,0.0801,7
688702,0.0377,0.0333,-0.0789,0.0798,2
600499,0.1654,0.0331,-0.2363,0.0791,3
600580,0.1658,0.0332,-0.0846,0.0768,6
600862,0.1659,0.0332,-0.1587,0.0742,5
002185,0.163,0.0327,-0.1055,0.0663,6
600546,0.1519,0.0306,-0.1859,0.057,9
002153,0.1457,0.0294,-0.1764,0.0547,14
688052,0.0473,0.0188,-0.2013,0.0544,8
603290,0.1473,0.0301,-0.1746,0.0521,9
002850,0.1561,0.0314,-0.1302,0.0516,7
600392,0.1545,0.0311,-0.1186,0.0511,9
002756,0.1434,0.029,-0.1699,0.0372,12
688617,0.1018,0.0264,-0.2263,0.0201,6
000683,0.1299,0.0263,-0.1166,0.0119,3
000657,0.1428,0.0291,-0.1145,0.0043,4
002156,0.1396,0.0282,-0.1196,0.0043,6
000629,0.1386,0.028,-0.1565,-0.0012,2
603486,0.1308,0.0265,-0.2601,-0.0126,8
000932,0.133,0.027,-0.1136,-0.0132,3
600032,0.0919,0.0265,-0.1028,-0.0148,2
300570,0.1253,0.0255,-0.0938,-0.0282,8
688122,0.1323,0.0268,-0.0759,-0.0371,6
000921,0.1076,0.022,-0.1677,-0.0441,4
600673,0.1315,0.0269,-0.1247,-0.052,2
300857,0.0802,0.0187,-0.1394,-0.0581,7
688166,0.1163,0.0237,-0.0873,-0.0605,6
300458,0.0639,0.0133,-0.2574,-0.0653,5
600143,0.1155,0.0236,-0.1589,-0.0675,5
688385,0.0724,0.0223,-0.0914,-0.0752,4
688608,0.0307,0.008,-0.2501,-0.0771,11
002155,0.129,0.0262,-0.0475,-0.0797,2
600095,0.065,0.0135,-0.2492,-0.0802,5
603659,0.0699,0.0145,-0.2687,-0.0897,10
603444,0.0703,0.0146,-0.1573,-0.1036,6
000537,0.0418,0.0088,-0.1843,-0.1039,3
601966,0.0719,0.0149,-0.1929,-0.109,3
300699,0.1103,0.0225,-0.0746,-0.1098,6
002821,0.0407,0.0085,-0.2811,-0.11,8
600536,0.0663,0.0138,-0.2329,-0.1115,6
